ticker,sbi_link,name,abstract,market,expense_ratio,factsheet_link,issuer,nisa_invest_flag
AAPD,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=AAPD,Direxion デイリー AAPL 株 ベア1倍 ETF,"アップル・インク (NASDAQ:
AAPL)の普通株式の日々のパフォーマンスのインバース(又はオポジット)の100％の日々の投資成果を追求する。本ファンドは、取引日以外の期間、規定の投資目標の達成を追求しない。",NASDAQ,0.95%,https://www.direxion.com/uploads/AAPU-AAPD-Fact-Sheet.pdf,Direxion Investments,
AAPU,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=AAPU,Direxion デイリー AAPL 株 ブル 1.5 倍 ETF,"アップル・インク (NASDAQ: AAPL)
の普通株式の日々のパフォーマンスの150％の日々の投資成果を追求する。本ファンドは、取引日以外の期間、規定の投資目標の達成を追求しない。",NASDAQ,0.95%,https://www.direxion.com/uploads/AAPU-AAPD-Fact-Sheet.pdf,Direxion Investments,
ACWI,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=ACWI,iシェアーズ MSCI ACWI ETF,MSCI All Country World Indexの価格および利回りの実績に概ね対応する投資成果（手数料および経費控除前）をあげることを目標としています。,NASDAQ,0.32%,https://www.ishares.com/us/literature/fact-sheet/acwi-ishares-msci-acwi-etf-fund-fact-sheet-en-us.pdf,ブラックロック･ファンド・アドバイザーズ,〇
AFK,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=AFK,ヴァンエックベクトル アフリカ インデックス ETF,アフリカ・インデックスETFは、ヴァンエック・ベクトルGDPアフリカ指数の価格と利回り（手数料と経費控除前）にできるだけ連動する運用実績を目指します。このインデックスは、アフリカに本社を置く、またはアフリカからの売上高が大半を占める上場企業へのエクスポージャーを提供します。したがって、当ファンドには同地域への投資リスクが伴います。,NYSE Arca,0.98%,https://www.vaneck.com/us/en/investments/africa-index-etf-afk-fact-sheet.pdf,ヴァン・エック・グローバル,〇
AGG,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=AGG,iシェアーズ・コア 米国総合債券市場 ETF,"ブルームバーグ・バークレイズ
米国総合インデックスに連動している。米国の投資適格債券市場全体のパフォーマンスを測る指標でドル建て固定金利、残存期間1年以上の債券で構成される。",NYSE Arca,0.03%,https://www.ishares.com/us/literature/fact-sheet/agg-ishares-core-u-s-aggregate-bond-etf-fund-fact-sheet-en-us.pdf,ブラックロック･ファンド・アドバイザーズ,
AGGY,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=AGGY,ウィズダムツリー 米国債券ファンド（利回り強化型）,米ドル建てのハイイールド社債への投資を行いつつ、米国金利に対する感応度をネガティブにすることにより、高水準の利息等の収入を維持しつつ、金利上昇時により高いパフォーマンスの実現を可能にするファンド。,NYSE Arca,0.12%,https://www.wisdomtree.com/-/media/us-media-files/documents/resource-library/fund-fact-sheets/fixed-income/wisdomtree-factsheet-aggy-2044.pdf,ウィズダムツリー・アセット・マネジメント,
AIQ,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=AIQ,グローバルX AI & ビッグデータETF,"Indxx・アーティフィシャル・インテリジェンス・アンド・ビッグデータ・インデックス（Indxx Artificial Intelligence and Big Data
Index）の価格およびイールドのパフォーマンス（手数料および費用控除前）に連動する投資成果を提供することを目指す",NASDAQ,0.68%,https://globalxetfs.co.jp/content/files/AIQ-factsheet-JPN-1.pdf,グローバルエックス・マネジメント,〇
AIRR,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=AIRR,FT RBA 米国産業ルネサンス ETF,米国上場資本財及び地域銀行セクターの中から中小型株を抽出して投資します。,NASDAQ,0.70%,https://www.firsttrust-teneo.jp/PDF/qreports/AIRR_Factsheet.pdf,ファーストトラスト,〇
ALTY,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=ALTY,グローバルX スーパーディビィデンド-オルタナティブズ ETF,Indxx スーパーディビィデンド オルタナティブ インデックスに連動した成果を目指す。,NASDAQ,0.50%,https://globalxetfs.co.jp/content/files/ALTY-factsheet-JPN-1.pdf,グローバルエックス・マネジメント,
AMZD,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=AMZD,Direxion デイリー AMZN株 ベア 1倍ETF,アマゾン・ドットコム・インク普通株式の日々のパフォーマンスの-100％の日々の投資成果を追求する。,NASDAQ,1.07%,https://www.direxion.com/uploads/AMZU-AMZD-Fact-Sheet.pdf,Direxion Investments,
AMZU,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETsmR001Control&_DataStoreID=DSWPLETsmR001Control&sw_page=Foreign&sw_param1=US&sw_param2=PRICE&sw_param3=US_NASDAQ&sw_param4=AMZU,Direxion デイリー AMZN株 ブル 1.5倍 ETF,アマゾン・ドットコム・インク普通株式の日々のパフォーマンスの150％の日々の投資成果を追求する。,NASDAQ,1.06%,https://www.direxion.com/uploads/AMZU-AMZD-Fact-Sheet.pdf,Direxion Investments,
